prim_cusip,innet,ln_sales,name
"55909",1,2.891871,"DR Ricardo Guimaraes"
"20485",1,2.877512,"Computer Associates Pty Ltd"
"15691",1,2.868751,"Certicom Corp"
"87891",1,2.863001,"Teknowledge Corp"
"69328",1,2.84392,"PCS NV"
"51862",1,2.840306,"Laurel Networks Inc"
"70458",1,2.82684,"Performix Technologies Ltd"
"78403",1,2.807473,"The SCO Group Inc"
"22101",1,2.796793,"CorVu Corp"
"56086",1,2.782291,"MakeMusic! Inc"
"23765",1,2.762223,"Norman Data Defense Systems"
"87609",1,2.754679,"Tarantella Inc"
"59496",1,2.750599,"Microsolve Computer Capital"
"71532",1,2.737156,"Persistence Software Inc"
"86605",1,2.735406,"Summit Design Inc"
"98891",1,2.667437,"Zi Corp"
"30231",1,2.65148,"Ezenia! Inc"
"73172",1,2.645891,"Polycom Inc"
"45665",1,2.640628,"InfoCorp Computer Solutions"
"54140",1,2.63347,"Logility Inc"
"76772",1,2.631529,"Risk Management Solutions Inc"
"55181",1,2.611833,"Lynx Real Time Systems Inc"
"63891",1,2.608451,"Navio Communications Inc"
"45902",1,2.587914,"Integral Solutions"
"46088",1,2.580293,"Intraspect Software Inc"
"68287",1,2.573757,"Onstream Media Corp"
"45868",1,2.566026,"Intergraph Corp"
"03724",1,2.557072,"ARES Corp"
"74833",1,2.548194,"Quepasa.com Inc"
"90466",1,2.538447,"Unidata Inc"
"20404",1,2.509111,""
"19189",1,2.497823,"CODA Inc"
"28225",1,2.474772,"eGain Communications Corp"
"43718",1,2.39142,"Home Media Corp"
"77634",1,2.376579,"ROO Group Inc"
"24570",1,2.350327,"Delano Technology Corp"
"05500",1,2.342094,"Azure Dynamics Corp"
"25383",1,2.339592,"Digital Bridge Inc"
"74294",1,2.339592,"Proginet Corp"
"45872",1,2.314612,"Intergraph Federal Systems"
"29690",1,2.310553,"eSoft Inc"
"22129",1,2.287065,"Cosmo Consult GmbH"
"94352",1,2.283402,"Wave Sys Corp"
"84762",1,2.272023,"Spectrum Holobyte Inc"
"74342",1,2.244532,"Promocion Y Operacion SA de CV"
"84757",1,2.229584,"Spectra Securities Software"
"08190",1,2.228831,"Benefitfocus.com Inc"
"78387",1,2.203428,"SBS Technologies Inc"
"88733",1,2.191206,"Timeline Inc"
"86866",1,2.180869,"SureFire Commerce Inc"
"30090",1,2.150366,"Excite Japan Co Ltd"
"38870",1,2.147918,"GraphOn Corp"
"11612",1,2.102181,"Alanco Technologies Inc"
"94769",1,2.100347,"WebMD Corp"
"80687",1,2.063693,"Schlumberger Technology Corp"
"12591",1,2.05027,"CMS/DATA Corp(Maxon Computer)"
