cusip1,cusip2
"59491","75634"
"91535","20259"
"60749","52326"
"19242","73869"
"19242","64805"
"68370","24715"
"64377","83433"
"42209","99015"
"37193","86681"
"56091","45245"
"36236","45040"
"45692","71400"
"46566","60434"
"68389","29482"
"68389","45920"
"68389","86681"
"68389","62007"
"M8743","65398"
"89619","07011"
"83184","84746"
"93369","62886"
"59491","25249"
"82617","86681"
"59991","68374"
"02364","48083"
"87113","47191"
"71356","87264"
"54321","40654"
"00550","75649"
"36875","65490"
"36875","83543"
"68223","65490"
"68223","83543"
"64114","92343"
"88553","04321"
"43358","42823"
"43358","57381"
"88560","58441"
"G6754","80399"
"87951","63506"
"83170","12686"
"36166","46120"
"45723","58445"
"24990","80851"
"21089","50252"
"72003","27864"
"68389","29586"
"45967","45836"
"45670","54946"
"M4654","29585"
"M4654","29593"
"72003","71849"
"7246","47012"
"89255","80862"
"30090","45814"
"88553","79860"
"07857","89149"
"53487","62007"
"87244","65402"
"30090","26224"
"70553","60430"
"05518","24736"
"02480","27632"
"45691","80690"
"20491","27632"
"75262","43693"
"45727","11102"
"02364","11101"
"20491","75007"
"87160","31652"
"55921","86681"
"02364","12594"
"80305","26483"
"64114","65332"
"91533","65332"
"62008","65332"
"20491","29587"
"50309","98406"
"82005","98406"
"92846","57566"
"02364","33743"
"85491","32687"
"59101","60306"
"59491","41148"
"93362","86561"
"64114","80385"
"72764","82840"
"52465","30061"
"59491","71376"
"52465","18047"
"88553","86681"
"46276","82573"
"59491","24227"
"45839","24227"
"49923","89225"
"45694","45814"
"38094","92854"
"30271","00785"
"59497","52464"
"64093","17275"
"64093","54946"
"64093","86681"
"75409","29484"
"00460","45990"
"87153","23768"
"59491","91130"
"83608","61690"
"78493","13219"
"87113","87150"
"85219","89148"
"45660","02260"
"87869","11102"
"39917","11102"
"39917","45678"
"59491","62940"
"79970","02580"
"79970","00229"
"59266","86681"
"54321","86681"
"98310","37935"
"98310","80943"
"87916","23102"
"91072","64135"
"59491","35661"
"12720","00101"
"83542","80593"
"59101","27746"
"30298","26915"
"75605","29356"
"53487","82623"
"71915","63764"
"88553","35346"
"45889","36777"
"17117","61945"
"77381","36916"
"74968","45814"
"74968","20449"
"45678","74790"
"73172","49910"
"73172","50163"
"73172","69319"
"04914","00783"
"90492","87656"
